*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 15:47:32

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2023 109    0  14.309   2.385   0.000   0.000   0.000   0.000   0.000     0.0  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000    0.0000
 2023 110    1  14.599   2.237   0.000   0.001   0.000   0.000   0.000     0.0  0.1436  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   -0.0000   -0.0000
 2023 111    2  14.856   2.096   0.000   0.002   0.000   0.000   0.000     0.0  0.1171  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000    0.0000
 2023 112    3  15.076   1.951   0.000   0.003   0.000   0.000   0.000     0.0  0.0749  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   -0.0000   -0.0000
 2023 113    4  15.255   1.795   0.000   0.003   0.000   0.000   0.000     0.0  0.0248  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   -0.0000   -0.0000
 2023 114    5  15.403   1.648   0.000   0.004   0.000   0.000   0.000     0.0  0.0006  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000   -0.0000
 2023 115    6  15.531   1.519   0.000   0.004   0.000   0.000   0.000     0.0  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   -0.0000   -0.0000
 2023 116    7  15.649   1.401   0.000   0.005   0.000   0.000   0.000     0.0  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000   -0.0000
 2023 117    8  15.769   1.287   0.000   0.005   0.000   0.000   0.000     0.0  0.0059  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000   -0.0000
 2023 118    9  15.894   1.208   0.000   0.005   0.000   0.000   0.000     0.0  0.0477  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   -0.0000   -0.0000
 2023 119   10  16.017   1.151   0.000   0.006   0.000   0.000   0.000     0.0  0.0664  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000   -0.0000
 2023 120   11  16.139   1.113   0.000   0.006   0.000   0.000   0.000     0.0  0.0839  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   -0.0000   -0.0000
 2023 121   12  16.258   1.080   0.000   0.006   0.000   0.000   0.000     0.0  0.0867  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000    0.0000
 2023 122   13  16.366   1.034   0.000   0.007   0.000   0.000   0.000     0.0  0.0624  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   -0.0000   -0.0000
 2023 123   14  16.465   0.978   0.000   0.007   0.000   0.000   0.000     0.0  0.0428  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000    0.0000
 2023 124   15  16.568   0.959   0.000   0.008   0.000   0.000   0.000     0.0  0.0843  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   -0.0000   -0.0000
 2023 125   16  16.675   0.979   0.000   0.009   0.000   0.000   0.000     0.0  0.1289  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   -0.0000   -0.0000
 2023 126   17  16.794   1.050   0.000   0.009   0.000   0.000   0.000     0.0  0.1899  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   -0.0000   -0.0000
